Symbol: Cr
Atomic Number: 24
Atomic Mass: 51.996100
Start Spectral Index: 24
11 0.024570
12 0.024593
12 0.024629
7 0.024660
10 0.024697
12 0.024708
10 0.024768
18 0.024807
10 0.024841
13 0.024868
12 0.024938
12 0.024959
11 0.025028
7 0.025031
7 0.025113
12 0.025123
12 0.025158
12 0.025174
12 0.025229
10 0.025272
7 0.025284
13 0.025298
12 0.025308
10 0.025417
7 0.025418
12 0.025478
7 0.025521
12 0.025536
7 0.025544
12 0.025545
7 0.025555
11 0.025631
12 0.025638
12 0.025706
12 0.025729
7 0.025742
7 0.025768
12 0.025805
20 0.025859
7 0.025918
7 0.025936
7 0.025943
12 0.025947
7 0.025964
13 0.025966
21 0.025993
12 0.026012
12 0.026042
13 0.026136
7 0.026160
13 0.026198
13 0.026235
6 0.026408
13 0.026473
6 0.026472
13 0.026504
7 0.026617
12 0.026641
19 0.026740
13 0.026774
13 0.026795
13 0.026839
13 0.026882
7 0.026885
7 0.026904
7 0.026939
13 0.026941
13 0.026949
6 0.026979
7 0.027090
7 0.027107
20 0.027186
12 0.027182
12 0.027236
13 0.027262
12 0.027323
13 0.027322
7 0.027327
12 0.027348
13 0.027372
7 0.027395
12 0.027430
13 0.027434
7 0.027556
7 0.027563
7 0.027575
13 0.027577
7 0.027579
7 0.027592
13 0.027599
12 0.027619
13 0.027645
12 0.027681
19 0.027811
12 0.027815
13 0.027885
12 0.027894
6 0.027918
13 0.027948
22 0.027974
13 0.027985
6 0.028014
7 0.028058
11 0.028057
7 0.028082
6 0.028089
19 0.028133
14 0.028167
12 0.028190
20 0.028203
13 0.028284
12 0.028435
11 0.028499
15 0.028519
12 0.028611
14 0.028630
21 0.028651
12 0.028700
14 0.028718
20 0.028758
12 0.028809
12 0.028844
14 0.028972
15 0.029022
11 0.029031
21 0.029099
7 0.029174
21 0.029318
12 0.029466
12 0.029476
13 0.029690
13 0.029762
14 0.029789
11 0.029806
15 0.029812
15 0.029803
12 0.029867
13 0.029883
14 0.030010
12 0.030012
14 0.030014
15 0.030031
14 0.030033
12 0.030118
14 0.030191
12 0.030375
13 0.030396
15 0.030521
12 0.030582
15 0.030581
12 0.030582
13 0.030586
13 0.030644
21 0.030680
21 0.030680
12 0.030732
15 0.030888
13 0.031055
12 0.031159
19 0.031171
12 0.031188
12 0.031297
12 0.031295
15 0.031332
15 0.031552
12 0.031643
12 0.031648
15 0.031740
15 0.031770
15 0.031842
12 0.031873
15 0.032015
12 0.032020
15 0.032125
15 0.032296
23 0.032481
12 0.032518
15 0.032589
9 0.032727
12 0.032739
13 0.032827
12 0.033169
12 0.033188
12 0.033213
10 0.033302
12 0.033464
12 0.033501
6 0.033512
6 0.033619
12 0.033625
13 0.033630
12 0.033646
6 0.033719
10 0.033749
12 0.033776
12 0.033810
12 0.033869
12 0.033923
12 0.033939
11 0.033947
10 0.034019
12 0.034133
13 0.034273
12 0.034472
12 0.034540
12 0.034557
12 0.034588
15 0.034617
14 0.034679
14 0.034701
12 0.034717
12 0.034720
14 0.034721
15 0.034818
10 0.035110
13 0.035115
13 0.035274
13 0.035384
7 0.035501
10 0.035511
13 0.035609
12 0.035611
12 0.035628
12 0.035680
12 0.035712
21 0.035712
11 0.035920
12 0.036115
13 0.036265
12 0.036287
9 0.036327
14 0.036340
13 0.036400
10 0.036571
11 0.036608
13 0.036648
11 0.036649
13 0.036679
11 0.036694
14 0.036704
13 0.036792
13 0.036810
20 0.036813
13 0.036922
11 0.037098
10 0.037109
13 0.037130
15 0.037347
11 0.037491
13 0.037511
11 0.037536
7 0.037542
10 0.037558
7 0.037607
13 0.037765
7 0.037769
18 0.037800
13 0.037880
7 0.037915
7 0.038022
13 0.038070
7 0.038089
21 0.038162
6 0.038358
6 0.038501
13 0.038740
14 0.038993
15 0.039094
15 0.039290
12 0.039303
10 0.039447
10 0.039599
7 0.039629
10 0.039818
19 0.039820
10 0.039970
14 0.040006
14 0.040032
7 0.040045
14 0.040046
7 0.040166
15 0.040217
15 0.040503
15 0.040502
12 0.040546
7 0.040637
7 0.040714
9 0.040764
7 0.040792
7 0.040802
15 0.040840
