Symbol: Mg
Atomic Number: 12
Atomic Mass: 24.305000
Start Spectral Index: 12
10 0.018174
10 0.018185
10 0.018186
10 0.018197
1 0.018206
3 0.018224
1 0.018270
3 0.018297
1 0.018303
1 0.018314
4 0.018316
4 0.018316
9 0.018337
4 0.018344
4 0.018344
1 0.018353
7 0.018369
7 0.018377
4 0.018392
4 0.018392
4 0.018392
2 0.018409
4 0.018419
4 0.018419
2 0.018431
7 0.018439
7 0.018439
4 0.018468
2 0.018468
7 0.018468
7 0.018468
7 0.018477
7 0.018477
2 0.018481
2 0.018526
2 0.018559
10 0.018567
10 0.018567
1 0.018595
2 0.018598
2 0.018647
3 0.018651
2 0.018684
10 0.018707
10 0.018718
2 0.018719
3 0.018720
2 0.018738
1 0.018740
1 0.018768
3 0.018853
2 0.018854
1 0.018875
2 0.018891
2 0.018901
2 0.018923
2 0.018937
10 0.018988
10 0.018988
1 0.018993
10 0.019002
10 0.019009
10 0.019056
9 0.019080
8 0.019095
2 0.019130
2 0.019156
2 0.019165
8 0.019177
8 0.019177
9 0.019177
2 0.019240
2 0.019255
2 0.019284
2 0.019309
2 0.019331
2 0.019340
2 0.019364
9 0.019386
1 0.019407
10 0.019462
10 0.019462
1 0.019466
10 0.019474
8 0.019532
9 0.019585
8 0.019597
9 0.019600
8 0.019603
1 0.019680
2 0.019774
1 0.019805
1 0.019826
7 0.019829
1 0.019863
7 0.019863
7 0.019863
1 0.019926
2 0.019931
1 0.020043
9 0.020079
1 0.020188
2 0.020200
9 0.020222
2 0.020227
9 0.020231
1 0.020242
9 0.020244
2 0.020251
8 0.020258
8 0.020258
8 0.020258
8 0.020258
9 0.020263
1 0.020275
9 0.020280
9 0.020285
2 0.020294
1 0.020329
9 0.020334
2 0.020342
2 0.020353
9 0.020388
1 0.020434
9 0.020438
10 0.020585
10 0.020585
9 0.020851
9 0.020874
2 0.020909
2 0.020943
8 0.020970
1 0.021000
8 0.021068
3 0.021068
8 0.021072
9 0.021219
9 0.021242
9 0.021278
9 0.021301
10 0.021302
10 0.021302
10 0.021302
11 0.021349
1 0.021352
9 0.021356
8 0.021471
1 0.021530
1 0.021545
1 0.021620
1 0.021636
11 0.021666
1 0.021669
10 0.021691
10 0.021691
9 0.021706
10 0.021706
1 0.021721
1 0.021721
1 0.021737
7 0.021775
8 0.021782
8 0.021782
8 0.021782
1 0.021822
1 0.021822
1 0.021837
8 0.021844
7 0.021874
1 0.021904
8 0.021910
1 0.021927
1 0.022006
1 0.022030
1 0.022204
8 0.022218
1 0.022268
1 0.022343
1 0.022343
9 0.022455
5 0.022494
5 0.022494
5 0.022495
5 0.022495
5 0.022496
5 0.022496
1 0.022516
1 0.022558
5 0.022576
5 0.022576
5 0.022577
5 0.022577
5 0.022578
5 0.022621
5 0.022622
1 0.022625
8 0.022645
