Symbol: Sc
Atomic Number: 21
Atomic Mass: 44.955900
Start Spectral Index: 21
5 0.128261
5 0.128525
4 0.128560
18 0.128600
5 0.128780
5 0.129241
5 0.129415
5 0.129448
5 0.129503
5 0.129675
5 0.129757
5 0.129852
2 0.129979
4 0.130039
5 0.130199
2 0.130418
11 0.130800
5 0.130973
5 0.131184
5 0.131397
5 0.131530
4 0.131774
5 0.131932
4 0.131986
5 0.132055
5 0.132237
4 0.132259
5 0.132303
5 0.132392
5 0.132392
5 0.132499
5 0.132500
5 0.132509
5 0.132597
5 0.132632
5 0.132792
5 0.133012
5 0.133222
5 0.133425
5 0.133533
4 0.133626
2 0.133768
5 0.133769
2 0.133840
5 0.133862
2 0.133908
2 0.134024
5 0.134097
5 0.134111
2 0.134213
5 0.134613
5 0.134661
5 0.134858
5 0.134947
5 0.135181
11 0.135280
2 0.135629
2 0.135687
2 0.135784
15 0.135800
15 0.135800
2 0.135825
2 0.135944
2 0.135969
2 0.136022
2 0.136135
5 0.136139
5 0.136494
2 0.136659
5 0.136761
2 0.136893
2 0.136965
5 0.137078
2 0.137302
5 0.137530
5 0.137758
5 0.139055
5 0.139229
2 0.139750
2 0.140364
5 0.140453
2 0.140661
5 0.140938
2 0.140980
2 0.141147
2 0.141249
2 0.141267
2 0.141344
2 0.141387
2 0.141488
2 0.141505
4 0.141547
2 0.141597
5 0.141638
2 0.141670
2 0.141697
2 0.141703
5 0.141704
2 0.141714
4 0.141782
2 0.141830
2 0.141832
2 0.141833
2 0.141865
2 0.141877
2 0.141879
4 0.141954
2 0.141995
2 0.141996
2 0.142040
2 0.142171
5 0.142223
4 0.142234
5 0.142285
2 0.142382
4 0.142466
5 0.142498
5 0.142851
5 0.143206
4 0.143589
4 0.144277
4 0.144409
4 0.144500
5 0.144588
5 0.144647
4 0.145386
4 0.145822
5 0.145957
4 0.146193
5 0.146964
4 0.147246
5 0.147660
4 0.148205
4 0.148964
4 0.149225
3 0.149350
4 0.149373
3 0.149451
3 0.149451
4 0.149486
4 0.149726
5 0.149784
14 0.150107
2 0.150283
2 0.150339
2 0.150385
2 0.150467
2 0.150546
2 0.150589
2 0.150621
2 0.150626
4 0.150715
4 0.150716
4 0.151496
2 0.151614
5 0.152056
2 0.153368
4 0.153500
2 0.153542
4 0.153576
4 0.153613
5 0.153785
2 0.153829
5 0.154312
4 0.154386
2 0.154390
2 0.154424
2 0.154473
2 0.154688
2 0.154780
4 0.154955
4 0.155081
2 0.155211
4 0.155288
1 0.155332
4 0.155347
2 0.155366
2 0.155367
1 0.155405
1 0.155491
4 0.155572
1 0.155576
1 0.155576
1 0.155590
1 0.155622
1 0.155622
1 0.155675
1 0.155675
1 0.155813
1 0.155813
1 0.155861
1 0.155899
1 0.155899
4 0.155901
1 0.156000
1 0.156000
1 0.156039
4 0.156093
1 0.156266
1 0.156268
1 0.156268
4 0.156291
4 0.156381
2 0.156449
1 0.156451
1 0.156451
4 0.156494
2 0.156512
1 0.156547
2 0.156549
2 0.156595
2 0.156616
4 0.156616
1 0.156676
1 0.156676
2 0.156713
2 0.156746
2 0.156843
1 0.156913
1 0.156961
1 0.156961
5 0.157207
2 0.157284
2 0.157290
2 0.157328
1 0.157328
1 0.157328
2 0.157358
1 0.157398
2 0.157415
4 0.157459
2 0.157462
4 0.157492
2 0.157507
4 0.157727
1 0.157816
1 0.157816
1 0.158061
2 0.158181
5 0.158202
2 0.158211
4 0.158341
2 0.158342
2 0.158344
4 0.158465
1 0.158482
1 0.158482
5 0.158560
4 0.158829
5 0.158833
1 0.159017
15 0.159030
4 0.159224
5 0.159359
1 0.159445
1 0.159445
3 0.159800
4 0.159835
3 0.160306
1 0.160401
1 0.160835
1 0.160835
3 0.161019
4 0.161155
2 0.161993
2 0.162074
2 0.162101
2 0.162127
2 0.162314
2 0.162348
2 0.162372
2 0.162401
2 0.162401
1 0.162607
2 0.163000
1 0.163053
1 0.163053
2 0.163133
2 0.163156
2 0.163372
2 0.163375
5 0.163569
2 0.163588
2 0.163635
2 0.164042
5 0.164299
4 0.165646
4 0.166071
1 0.166416
4 0.166591
1 0.166883
1 0.166883
2 0.167097
2 0.167254
2 0.167524
5 0.167645
2 0.167683
2 0.167886
3 0.167982
3 0.168111
3 0.168111
4 0.168716
2 0.169134
2 0.169165
2 0.169477
5 0.170707
1 0.173609
2 0.173640
1 0.173666
5 0.173672
1 0.173681
2 0.173751
1 0.173901
1 0.173978
1 0.173999
1 0.174052
1 0.174118
1 0.174139
1 0.174175
1 0.174189
1 0.174241
3 0.174268
1 0.174412
1 0.174463
1 0.174467
5 0.174473
1 0.174489
1 0.174563
4 0.174623
1 0.174628
1 0.174651
5 0.174692
1 0.174754
1 0.174780
1 0.174842
1 0.174877
1 0.174916
1 0.174929
1 0.174947
1 0.175171
1 0.175250
1 0.175345
1 0.175432
1 0.175441
1 0.175441
1 0.175445
1 0.175455
1 0.175464
1 0.175490
1 0.175506
1 0.175666
1 0.175689
1 0.175746
1 0.175771
1 0.175781
1 0.175781
1 0.175865
1 0.175883
1 0.175893
1 0.175925
1 0.175933
2 0.176059
2 0.176175
1 0.176195
1 0.176218
1 0.176218
1 0.176247
1 0.176267
1 0.176447
1 0.176463
1 0.176493
1 0.176506
1 0.176615
1 0.176788
1 0.176788
1 0.176851
1 0.177007
4 0.177110
1 0.177141
1 0.177178
