Symbol: Ni
Atomic Number: 28
Atomic Mass: 58.693000
Start Spectral Index: 28
14 0.016837
27 0.016843
17 0.016893
16 0.016918
13 0.016959
14 0.016969
14 0.016988
16 0.017038
16 0.017046
14 0.017050
14 0.017137
16 0.017154
24 0.017206
14 0.017216
14 0.017280
16 0.017283
15 0.017372
14 0.017374
23 0.017380
16 0.017467
15 0.017499
17 0.017515
17 0.017539
23 0.017560
19 0.017600
15 0.017611
15 0.017672
14 0.017728
14 0.017756
23 0.017851
15 0.017878
15 0.017889
15 0.017927
15 0.018008
18 0.018070
14 0.018214
18 0.018250
18 0.018260
14 0.018276
16 0.018300
22 0.018419
16 0.018438
15 0.018488
24 0.018492
10 0.018494
16 0.018498
16 0.018525
24 0.018528
23 0.018533
17 0.018537
14 0.018594
14 0.018596
16 0.018623
14 0.018666
14 0.018669
11 0.018699
16 0.018740
18 0.018750
25 0.018806
14 0.018869
15 0.018923
18 0.018940
18 0.018950
16 0.019106
15 0.019145
16 0.019148
16 0.019165
16 0.019217
10 0.019260
16 0.019341
16 0.019404
17 0.019467
16 0.019527
16 0.019541
15 0.019553
16 0.019609
14 0.019620
17 0.019730
10 0.019740
16 0.019752
16 0.019761
10 0.019791
17 0.019820
16 0.019863
16 0.019884
16 0.019920
16 0.019922
17 0.019987
16 0.019991
16 0.020050
17 0.020055
14 0.020073
18 0.020150
17 0.020202
16 0.020258
17 0.020291
14 0.020297
17 0.020312
17 0.020328
17 0.020330
18 0.020370
17 0.020508
16 0.020550
18 0.020610
24 0.020688
17 0.020776
17 0.020752
17 0.020752
18 0.020780
11 0.020792
17 0.020812
16 0.020824
17 0.020865
16 0.020901
15 0.020918
17 0.020933
17 0.020936
23 0.020959
16 0.020986
16 0.021038
16 0.021060
17 0.021071
11 0.021141
17 0.021185
16 0.021171
18 0.021180
18 0.021210
16 0.021215
18 0.021220
16 0.021223
25 0.021281
24 0.021315
17 0.021359
17 0.021408
17 0.021501
17 0.021541
17 0.021591
15 0.021592
16 0.021662
16 0.021679
16 0.021680
16 0.021838
24 0.021860
25 0.021872
16 0.021928
16 0.021986
18 0.022000
18 0.022041
18 0.022100
24 0.022106
18 0.022120
18 0.022150
18 0.022170
16 0.022312
22 0.022322
15 0.022406
17 0.022422
18 0.022440
18 0.022450
